bjt,n,bias,MAE,RMSE,corr,qd95
0,981.0,0.27441386340468865,1.79796126401631,2.4560478932265615,0.9776396098609023,5.500000000000002
1,981.0,0.3471967380224258,1.7861365953109076,2.466972458109814,0.9779780533176295,5.6000000000000005
2,981.0,0.390417940876656,1.7628950050968402,2.4292139737107057,0.9790747579219221,5.600000000000001
3,981.0,0.3888888888888885,1.7546381243628955,2.415282214427808,0.9797350197328771,5.6
4,981.0,0.4465851172273188,1.7428134556574926,2.412283803752597,0.9803134296224447,5.6
5,981.0,0.5217125382262994,1.7508664627930686,2.4262663916944183,0.9806047612180107,5.5
6,981.0,0.4006116207951066,1.7728848114169218,2.413481503214984,0.9813611756405722,5.6
7,981.0,0.2552497451580018,1.7410805300713559,2.380172087080732,0.9836787259676977,5.400000000000002
8,981.0,-0.007441386340469225,1.5012232415902143,2.030784987547254,0.987318757895051,4.499999999999999
9,981.0,-0.40499490316004105,1.2753312945973498,1.6625055087934608,0.9899752737507861,3.3999999999999986
10,981.0,-0.6355759429153928,1.2255861365953111,1.5843944617416317,0.990023798343713,3.1999999999999993
11,981.0,-0.6918450560652399,1.224566768603466,1.5839569028002765,0.9896585604327588,3.0999999999999996
12,980.0,-0.7473469387755105,1.3279591836734694,1.674301560139545,0.9883332667645913,3.299999999999997
13,981.0,-0.673088685015291,1.313047910295617,1.6582078925402486,0.9879016973077775,3.200000000000003
14,981.0,-0.6655453618756374,1.2867482161060144,1.6334456679837388,0.9882014717789669,3.1999999999999993
15,981.0,-0.749745158002039,1.3189602446483182,1.7165055890700935,0.9873763853162204,3.1999999999999993
16,981.0,-0.8175331294597352,1.3096839959225282,1.724022274584055,0.9883467460761562,3.3000000000000043
17,981.0,-0.830784913353721,1.3384301732925585,1.7160512242591552,0.9893603629092143,3.3000000000000007
18,981.0,-0.9164118246687056,1.6746177370030584,2.054179499187638,0.9863546935864055,3.8000000000000007
19,981.0,-0.7056065239551482,1.86401630988787,2.317688925888577,0.980787439048429,4.399999999999999
20,981.0,-0.3378185524974519,1.7647298674821614,2.2848077785925947,0.9796285998044312,4.699999999999998
21,981.0,-0.14373088685015323,1.778185524974516,2.3434337962030303,0.9787785410283509,5.0
22,981.0,0.03720693170234418,1.7841997961264018,2.406534173418019,0.9779789707517198,5.299999999999999
23,981.0,0.1882772680937815,1.802344546381244,2.4525528109543084,0.9772263289504495,5.299999999999999
