lead_day,n,bias,MAE,RMSE,corr,qd95
1,2208.0,-1.65384963768116,1.950951086956522,2.3320360653611103,0.9021095889369103,4.199999999999999
2,2208.0,-1.7911684782608703,2.1719655797101454,2.6016690921824384,0.8704459195241891,4.800000000000001
3,2208.0,-1.8938405797101454,2.348460144927537,2.7794682657982825,0.8487143009130261,4.899999999999999
5,2208.0,-1.7831974637681167,2.406023550724638,2.8410447596063952,0.8212599678477096,5.0
7,2208.0,-1.880706521739131,2.8561594202898557,3.388380614453724,0.7306724770313276,6.399999999999999
