lag_hour,autocorr
1,0.8965598936609558
2,0.798958686063055
3,0.703284632696886
4,0.612640129294028
5,0.5290611732726407
6,0.4529227351072679
7,0.3834640698999697
8,0.3226966522452276
9,0.2728039123774876
10,0.23570875952442757
11,0.2100651560978198
12,0.1978831301097741
