method,train_station,test_station,train_n,test_n,bias,MAE,RMSE,MAE_improvement_pct,RMSE_improvement_pct
① 原始预报（不订正）,ZSNJ,ZSSS,23543,23542,-0.08989890408631425,1.062297171013508,1.4088944012461984,0.0,0.0
② 常数去偏,ZSNJ,ZSSS,23543,23542,0.12161619594341853,1.0519483143926571,1.4112732265662493,0.9741960068459364,-0.16884340784851123
③ 按月去偏,ZSNJ,ZSSS,23543,23542,0.12157650756900633,1.0468330718722223,1.4064612348852128,1.455722519389928,0.1727004067042478
④ 按小时去偏,ZSNJ,ZSSS,23543,23542,0.12159579283594997,1.1476079287158854,1.4858054558848044,-8.03078084270757,-5.458965169467385
⑤ 按(月×小时)去偏,ZSNJ,ZSSS,23543,23542,0.12158780052671816,1.0761783378402316,1.423511101799438,-1.3067122087390994,-1.0374589139051733
⑥ 随机森林（多变量非线性）,ZSNJ,ZSSS,23543,23542,0.1978592504446165,1.1815484797256461,1.555165522882397,-11.225795565130209,-10.381979054414487
